Query,Rank,Method_A,Method_A_letter,Method_B,Method_B_letter,Winner_Method
struggle,4,BERT,B,SBERT,A,BERT
creation,2,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
creation,2,SBERT,B,TF-IDF + GloVe,A,SBERT
creation,2,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
creation,2,SBERT,X,BERT,Y,SBERT
creation,2,BERT,A,TF-IDF,B,BERT
creation,2,TF-IDF,Y,SBERT,X,SBERT
"Ye hold matrys, who foughts the good fight and have received your crowns; entreat ye the Lord that he will have mercy on our souls",1,TF-IDF + GloVe,B,BERT,A,BERT
"Ye hold matrys, who foughts the good fight and have received your crowns; entreat ye the Lord that he will have mercy on our souls",1,SBERT,X,TF-IDF + GloVe,Y,SBERT
"Ye hold matrys, who foughts the good fight and have received your crowns; entreat ye the Lord that he will have mercy on our souls",1,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
"Ye hold matrys, who foughts the good fight and have received your crowns; entreat ye the Lord that he will have mercy on our souls",1,BERT,Y,SBERT,X,SBERT
"Ye hold matrys, who foughts the good fight and have received your crowns; entreat ye the Lord that he will have mercy on our souls",1,BERT,B,TF-IDF,A,TF-IDF
"Ye hold matrys, who foughts the good fight and have received your crowns; entreat ye the Lord that he will have mercy on our souls",1,SBERT,Y,TF-IDF,X,TF-IDF
The Lord is my helper; I will not fear what man shall do unto me.,3,BERT,A,TF-IDF + GloVe,B,BERT
The Lord is my helper; I will not fear what man shall do unto me.,3,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
The Lord is my helper; I will not fear what man shall do unto me.,3,SBERT,A,BERT,B,SBERT
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF,X,BERT,Y,TF-IDF
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF,Y,SBERT,X,SBERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",5,BERT,X,TF-IDF + GloVe,Y,BERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",5,TF-IDF + GloVe,B,SBERT,A,SBERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",5,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",5,BERT,X,SBERT,Y,BERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",5,BERT,X,TF-IDF,Y,BERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",5,SBERT,X,TF-IDF,Y,SBERT
protection from enemies,4,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
protection from enemies,4,SBERT,B,TF-IDF + GloVe,A,SBERT
protection from enemies,4,SBERT,Y,BERT,X,BERT
Love,3,TF-IDF + GloVe,Y,BERT,X,BERT
Love,3,SBERT,B,TF-IDF + GloVe,A,SBERT
Love,3,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
Love,3,BERT,Y,SBERT,X,SBERT
Love,3,BERT,Y,TF-IDF,X,TF-IDF
Love,3,SBERT,A,TF-IDF,B,SBERT
God with with us,1,TF-IDF + GloVe,B,BERT,A,BERT
God with with us,1,SBERT,A,TF-IDF + GloVe,B,SBERT
God with with us,1,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
God with with us,1,SBERT,X,BERT,Y,SBERT
God with with us,1,TF-IDF,B,BERT,A,BERT
God with with us,1,SBERT,A,TF-IDF,B,SBERT
Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,4,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,4,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,4,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,4,BERT,B,SBERT,A,SBERT
Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,4,TF-IDF,X,BERT,Y,TF-IDF
Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,4,TF-IDF,B,SBERT,A,TF-IDF
struggle,5,SBERT,B,BERT,A,SBERT
Find psalms that include both crying out for help and later declaring confidence in Godâ€™s justiceâ€,1,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Find psalms that include both crying out for help and later declaring confidence in Godâ€™s justiceâ€,1,TF-IDF + GloVe,Y,SBERT,X,SBERT
Find psalms that include both crying out for help and later declaring confidence in Godâ€™s justiceâ€,1,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Find psalms that include both crying out for help and later declaring confidence in Godâ€™s justiceâ€,1,SBERT,A,BERT,B,SBERT
Find psalms that include both crying out for help and later declaring confidence in Godâ€™s justiceâ€,1,BERT,X,TF-IDF,Y,BERT
Find psalms that include both crying out for help and later declaring confidence in Godâ€™s justiceâ€,1,SBERT,Y,TF-IDF,X,TF-IDF
"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",2,TF-IDF + GloVe,B,BERT,A,BERT
"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",2,TF-IDF + GloVe,Y,SBERT,X,SBERT
"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",2,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",2,BERT,Y,SBERT,X,SBERT
"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",2,TF-IDF,Y,BERT,X,BERT
"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",2,SBERT,Y,TF-IDF,X,TF-IDF
Attend to my supplication,4,TF-IDF + GloVe,B,BERT,A,TF-IDF + GloVe
Attend to my supplication,4,TF-IDF + GloVe,Y,SBERT,X,SBERT
Attend to my supplication,4,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
Attend to my supplication,4,BERT,A,SBERT,B,BERT
Attend to my supplication,4,BERT,Y,TF-IDF,X,TF-IDF
Attend to my supplication,4,TF-IDF,X,SBERT,Y,TF-IDF
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,TF-IDF + GloVe,B,BERT,A,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,SBERT,A,BERT,B,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,BERT,X,TF-IDF,Y,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,TF-IDF,A,SBERT,B,TF-IDF
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imageryâ€”such as mountains, seas, storms, and the heavensâ€”to themes of worship, divine power, and human dependence on God.",2,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imageryâ€”such as mountains, seas, storms, and the heavensâ€”to themes of worship, divine power, and human dependence on God.",2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imageryâ€”such as mountains, seas, storms, and the heavensâ€”to themes of worship, divine power, and human dependence on God.",2,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imageryâ€”such as mountains, seas, storms, and the heavensâ€”to themes of worship, divine power, and human dependence on God.",2,BERT,Y,SBERT,X,SBERT
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imageryâ€”such as mountains, seas, storms, and the heavensâ€”to themes of worship, divine power, and human dependence on God.",2,TF-IDF,A,BERT,B,TF-IDF
