Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Query,Method,Rank,Similarity Score (%),Text,Psalm Num,Verse,Scored,Letter,Score
715,715,715,715,715,Attend to my supplication,BERT,1,68.15,Psalter,49,"The God of gods, even the Lord, hath spoken, and called the earth from the rising of the sun unto the going down thereof. Out of Zion is the comeliness of His beauty. God, our God, shall come manifestly, and shall not keep silence. A fire shall burn before Him, and a mighty tempest shall be round about Him. He shall summon the heaven above, and the earth, that He may judge His people. Gather His saints together unto Him, those that have established His covenant upon sacrifices. And the heavens shall declare His righteousness; for God is judge. Hear, O My people, and I will speak to thee, O Israel; and I will testify against thee; I am God, even thy God. I will not reprove thee for sacrifices, for thy whole burntofferings are continually before Me. I will not welcome bullocks out of thy house, nor he goats out of thy flocks. For all the beasts of the field are Mine, the cattle upon the mountains, and the oxen. I know all the fowls of the air, and the beauty of the fields is Mine. If I were hungry, I would not tell thee, for the world is Mine, and the fulness thereof. Will I eat the flesh of bulls, or drink the blood of goats? Offer unto God a sacrifice of praise, and pay thy vows unto the Most High. And call upon me in the day of thy trouble, and I will deliver thee; and thou shalt glorify Me. But unto the sinner God said, Why dost thou declare My statutes, and takest My covenant in thy mouth? Thou hast hated instruction, and hast cast My words behind thee. When thou sawest a thief, then thou didst run with him, and hast been partaker with the adulterer. Thy mouth hath multiplied evil, and thy tongue hath framed deceits. Thou satest and spakest against thy brother, and laidst a scandal against thy mother's son. These things hast thou done, and I kept silence. Thou thoughtest wickedly that I should be like unto thee; but I will reprove thee, and set thy sins before thy face. Now understand this, ye that forget God, lest He snatch you away, and there be none to deliver. A sacrifice of praise shall glorify Me, and there is the way wherein I will shew him My salvation.",True,D,3
721,721,721,721,721,Attend to my supplication,SBERT,1,95.89,Psalter,149,"Sing unto the Lord a new song, His praise is in the congregation of the saints. Let Israel be glad in Him that made him, and let the sons of Zion be joyful in their king. Let them praise His name in the dance; let them sing praises unto Him with the timbrel and psaltery. For the Lord taketh pleasure in His people, and shall exalt the meek with salvation. The saints shall rejoice in glory, and shall exult upon their beds. The high praises of God shall be in their mouth, and twoedged swords in their hands; To execute vengeance among the heathen, and punishments among the peoples; To bind their kings with chains, and their nobles with fetters of iron; To execute among them the judgment written; this glory shall be for all His saints.",True,C,2
710,710,710,710,710,Attend to my supplication,TF-IDF + GloVe,1,16.0,Bible,79,1For the End concerning things that shall be changed a testimony for Asaph a psalm  concerning the Assyrian Give heed O You who shepherd Israel Reveal Yourself O You who lead Joseph like a flock Who sit upon the cherubim Raise up Your power Before Ephraim Benjamin and Manasseh And come for our salvation O God convert us And reveal Your face and we shall be saved O Lord God of hosts How long will You be angry with the prayer of Your servant Will You feed us the bread of tears And will You give us as drink tears in measure You made us an offense to our neighbors And our enemies sneered at us O Lord God convert us And reveal Your face and we shall be saved Pause You removed a vineyard from Egypt You cast out the nations and planted it You prepared the way before it And You planted its roots and the earth was filled Its shade covered the mountains And its vines the cedars of God Its branches reached to the sea And its shoots as far as the river Why did You pull down its hedge And all who pass on the road gather its grapes A wild swine from the forest laid it waste A solitary wild beast devoured it O God of hosts convert us now Look down from heaven and behold And visit this vineyard Which Your right hand planted and perfect it And visit the son of man whom You strengthened for Yourself It was set on fire and uprooted But they shall perish at the rebuke of Your face Let Your hand be upon the man of Your right hand And upon the son of man whom You strengthened for Yourself Then we will not turn away from You You will give us life and we will call upon Your name O Lord God of hosts convert us and reveal Your face and we shall be saved,True,A,1
725,725,725,725,725,Attend to my supplication,TF-IDF,1,23.84,Psalter,141,"I cried unto the Lord with my voice; with my voice unto the Lord did I make supplication. I will pour out my supplication before Him; I will shew before Him my trouble. When my spirit was fainting within me, then Thou knewest my paths. In this way wherein I walked have they privily laid a snare for me. I looked on my right hand, and beheld; but there was no man that knew me. Flight failed me, and there is none that watcheth for my soul. I cried unto Thee, O Lord; I said, Thou art my hope, my portion in the land of the living. Attend unto my supplication, for I am brought very low. Deliver me from my persecutors, for they are stronger than I. Bring my soul out of prison, that I may praise Thy name. The just shall await me, until Thou shalt reward me.",True,B,0
128,128,128,128,128,prayer,BERT,4,38.91,Psalter,149,"Sing unto the Lord a new song, His praise is in the congregation of the saints. Let Israel be glad in Him that made him, and let the sons of Zion be joyful in their king. Let them praise His name in the dance; let them sing praises unto Him with the timbrel and psaltery. For the Lord taketh pleasure in His people, and shall exalt the meek with salvation. The saints shall rejoice in glory, and shall exult upon their beds. The high praises of God shall be in their mouth, and twoedged swords in their hands; To execute vengeance among the heathen, and punishments among the peoples; To bind their kings with chains, and their nobles with fetters of iron; To execute among them the judgment written; this glory shall be for all His saints.",True,C,3
131,131,131,131,131,prayer,SBERT,4,94.83,Psalter,149,"Sing unto the Lord a new song, His praise is in the congregation of the saints. Let Israel be glad in Him that made him, and let the sons of Zion be joyful in their king. Let them praise His name in the dance; let them sing praises unto Him with the timbrel and psaltery. For the Lord taketh pleasure in His people, and shall exalt the meek with salvation. The saints shall rejoice in glory, and shall exult upon their beds. The high praises of God shall be in their mouth, and twoedged swords in their hands; To execute vengeance among the heathen, and punishments among the peoples; To bind their kings with chains, and their nobles with fetters of iron; To execute among them the judgment written; this glory shall be for all His saints.",True,A,2
138,138,138,138,138,prayer,TF-IDF,4,19.02,Bible,4,For the End in psalms an ode by David You heard me when Icalled O God of my righteousness You strengthened my heart when I was in distress Have mercy on me and hear my prayer How long O you sons of men Will you be slow of heart Why do you love vain things And seek after lies Know that the Lord made His Holy One wondrous The Lord will hear me when I cry to Him Be angry and do not sin Have remorse upon your beds For what you say in your hearts Pause Offer the sacrifice of righteousness And hope in the Lord There are many who say Who will show us good things O Lord the light of Your face was stamped upon us You put gladness in my heart From their season of wheat wine and oil they were multiplied I will both sleep and rest in peace For You alone O Lord cause me to dwell in hope,True,D,1
123,123,123,123,123,prayer,TF-IDF + GloVe,4,13.11,Bible,119,An ode of ascents To the Lord in my affliction I cried out and He heard me O Lord deliver my soul from unjust lips And from a deceitful tongue What should be given You and what added to You Against a deceitful tongue The arrows of the Mighty One are sharpened With hot coals from the desert Woe is me My sojourning was prolonged I dwelt with the tents of Kedar My soul sojourned a long time as a resident alien With those who hate peace I was peaceful When I spoke to them they made war against me without cause,True,B,0
96,96,96,96,96,mercy,TF-IDF,2,30.36,Bible,135,1Alleluia Give thanks to the Lord for He is good For His mercy endures forever Give thanks to the God of gods For His mercy endures forever Give thanks to the Lord of lords For His mercy endures forever To Him who alone does great wonders For His mercy endures forever To Him who made the heavens with understanding For His mercy endures forever To Him who made firm the earth on the waters For His mercy endures forever To Him who alone made the great lights For His mercy endures forever The sun for authority over the day For His mercy endures forever The moon and stars for authority over the night For His mercy endures forever To Him who struck down Egypt with their firstborn For His mercy endures forever To Him who led Israel out of their midst For His mercy endures forever With a strong hand and an upraised arm For His mercy endures forever To Him who divided the Red Sea into parts For His mercy endures forever And led Israel through the midst of it For His mercy endures forever And whooverthrew Pharaoh and all his host in the Red Sea For His mercy endures forever To Him who led His people through the wilderness For His mercy endures forever To Him who drew water from the hard rock For His mercy endures forever To Him who struck down great kings For His mercy endures forever And killed mighty kings For His mercy endures forever Sihon king of the Amorites For His mercy endures forever And Og king of Bashan For His mercy endures forever And who gave their land as an inheritance For His mercy endures forever An inheritance for Israel His servant For His mercy endures forever For in our humiliation the Lord remembered us For His mercy endures forever And He redeemed us from our enemies For His mercy endures forever Who gave food to all flesh For His mercy endures forever Give thanks to the God of heaven For His mercy endures forever Give thanks to the Lord of lords For His mercy endures forever,False,C,3
92,92,92,92,92,mercy,SBERT,2,96.3,Psalter,148,"Praise ye the Lord from the heavens; praise Him in the highest. Praise ye Him, all His angels; praise ye him, all His hosts. Praise ye Him, sun and moon; praise Him, all ye stars and light. Praise Him, ye heaven of heavens, and thou water that art above the heavens. Let them praise the name of the Lord; for He spake, and they were made; He commanded, and they were created. He hath established them for ever and ever; He hath made a decree, and it shall not pass away. Praise the Lord from the earth, ye dragons and all deeps. Fire, and hail, snow, and ice, stormy wind, fulfilling His word; Mountains, and all hills; fruitful trees, and all cedars; Beasts, and all cattle; creeping things, and winged fowl; Kings of the earth, and all peoples; princes, and all judges of the earth; Both young men and maidens; old men, and children; Let them praise the name of the Lord, for His name alone is exalted. His praise is above the earth and heaven, and He shall exalt the horn of His people, A hymn is meet for all His saints; even for the sons of Israel, for the people that draw near unto Him.",False,D,2
