Query,Method,Rank,Similarity Score (%),Text,Psalm Num,Verse,Scored,Score
prayer,TF-IDF + GloVe,3,13.46,Bible,56,1For the End corrupt not by David for a pillar inscription when he escaped from the face  of Saul to the cave Have mercy on me O God have mercy on me For my soul trusts in You And in the shadow of Your wings I will hope Until lawlessness shall pass away I will cry out to God most High My God whois my benefactor He sent from heaven and saved me He gave over to disgrace those who trample me down Pause God sent out His mercy and His truth And delivered my soul from the midst of young lions Although troubled I fell asleep As for the sons of men their teeth are a weapon and arrows And their tongue is a sharp dagger Be exalted O God above the heavens And Your glory above all the earth They prepared a trap for my feet And they bowed down my soul They dug a pit before my face But they fell into it Pause My heart is ready O God My heart is ready I will sing and I will sing a psalm Awake my glory Awake harp and lyre I will arise at dawn I will give thanks to You O Lord among the peoples I will sing to You among the Gentiles For Your mercy is magnified to the heavens And Your truth to the clouds Be exalted O God above the heavens And Your glory above all the earth,False,4
prayer,BERT,3,39.39,Psalter,42,"Judge me, God, and give judgment in my cause against a nation that is not holy; deliver me from an unjust and deceitful man. For Thou, O God, art my strength: why hast Thou cast me off, and why go I mourning while mine enemy oppresseth me? O send out Thy light and Thy truth; they have led me, and brought me unto Thy holy mount, and to Thy tabernacles. And I will go unto the altar of God, unto God Which giveth gladness to my youth; upon the harp will I praise Thee, O God, my God. Why art thou cast down, O my soul, and why dost thou disquiet me? Hope thou in God, for I shall praise Him, the salvation of my countenance, and my God.",False,3
prayer,SBERT,3,7.11,Psalter,134,"Praise ye the name of the Lord; O ye servants, praise the Lord, Ye that stand in the house of the Lord, in the courts of the house of our God. Praise the Lord, for the Lord is good; sing praises unto His name, for it is good. For the Lord hath chosen Jacob unto Himself, and Israel for His own possession. For I know that the Lord is great, and that our Lord is above all gods. Whatsoever the Lord willed, that hath He done, in heaven, and in earth, in the seas and all deep places. He bringeth up clouds from the ends of the earth; He made lightnings for the rain; He bringeth winds out of His treasuries. He smote the firstborn of Egypt, from man unto beast. He sent signs and wonders into the midst of thee, O Egypt; unto Pharaoh, and unto all his servants. He smote many nations, and slew mighty kings: Sihon, king of the Amorites, and Og, the king of Bashan; and all the kingdoms of Canaan. And gave their lands for an heritage, an heritage unto Israel His people. Thy name, O Lord, endureth for ever; and Thy memorial from generation to generation. For the Lord will judge His people, and be entreated concerning His servants. The idols of the heathen are silver and gold, the work of men's hands. They have a mouth, but they speak not; eyes have they, but they see not. They have ears, but they hear not; neither is there any breath in their mouths. Let those who make them be like unto them, yea, all that trusteth in them. Bless the Lord, O house of Israel. Bless the Lord, O house of Aaron. Bless the Lord, O house of Levi. Ye that fear the Lord, bless the Lord. Blessed be the Lord out of Zion, Who dwelleth at Jerusalem.",False,2
prayer,TF-IDF,3,19.383477173092334,Bible,141,1Understanding by David when he was in the cave a prayer Icried to the Lord with my voice With my voice I prayed to the Lord I shall pour out my supplication before Him I shall declare my affliction in His presence When my spirit fainted within me Then You knew my paths For on the way Iwas going they hid a trap for me I looked on my right and saw There was no one who knew me Refuge failed me And there was no one who cared for my soul I cried to You O Lord I said You are my hope My portion in the land of the living Attend to my supplication For I was humbled exceedingly Deliver me from my persecutors For they are stronger than I Bring my soul out of prison To give thanks to Your name O Lord The righteous shall wait for me until You reward me,False,1
For the Peace of the world,TF-IDF + GloVe,5,12.74,Bible,11,For the End concerning the eighth a psalm by David Save me O Lord for the holy man has ceased The truthful are diminished from among the sons of men Each one speaks useless things to his neighbor Deceptive lips speak with a double heart May the Lord destroy all deceptive lips And the tongue that speaks boastful things Saying We will make our tongue powerful Our lips are our own Who is lord over us Because of the suffering of the needy And because of the groaning of the poor Now I will arise says the Lord Iwill establish them in salvation I will declare it boldly The words of the Lord are pure words Like silver fired in a furnace of earth Purified seven times You shall guard us O Lord You shall preserve us from this generation forever The ungodly walk in a circle In Your exaltation You highly exalted the sons of men,False,4
For the Peace of the world,BERT,5,52.19,Psalter,46,"O clap your hands, all ye nations; shout unto God with a voice of rejoicing. For the Lord Most High is terrible; He is a great King over all the earth. He hath subdued the people under us, and the nations under our feet. He hath chosen us for His inheritance, the beauty of Jacob which He loved. God is gone up with jubilation, the Lord with the sound of the trumpet. Sing praises to our God, sing praises; sing praises unto our King, sing praises. For God is the king of all the earth; sing ye praises with understanding. God reigneth over the heathen; God sitteth upon His holy throne. The princes of the people are gathered together with the God of Abraham, for God's mighty ones of the earth are greatly exalted.",False,3
For the Peace of the world,SBERT,5,5.87,Psalter,16,"Hear my right, O Lord; attend unto my supplication. Give ear unto my prayer, that goeth not out of feigned lips. Let my judgment come forth from Thy presence; let mine eyes behold the things that are equal. Thou hast proved mine heart; Thou hast visited it in the night; Thou hast tried me by fire, and unrighteousness hath not been found in me. That my mouth may not speak the works of men, for the sake of the words of Thy lips have I kept hard ways. Set Thou my goings in Thy paths, that my footsteps slip not. I have cried, for Thou hast heard me, O God; incline Thine ear unto me, and hear my words. Shew Thy marvellous mercies, O Thou that savest them which put their hope in Thee. From them that have resisted Thy right hand, keep me, O Lord, as the apple of Thine eye. Thou wilt shelter me with the covert of Thy wings, from the face of the ungodly that have troubled me. Mine enemies have compassed my soul; they are inclosed in their own fat, their mouth hath spoken proudly. They cast me forth, and now have compassed me about; they have set their eyes bowing down to the earth. They have taken me like as a lion that is ready for his prey, and as it were a young lion lurking in secret places. Arise, O Lord, prevent them, and supplant them; deliver my soul from the ungodly, Thy sword from the enemies of Thine hand. From Thy few of the earth, O Lord, do Thou separate them in their life; their belly is filled with Thy hid treasures. They have satisfied themselves with swine, and have left the rest of their substance to their babes. As for me, I shall appear before Thy face in righteousness; I shall be satisfied when Thy glory appeareth unto me.",False,2
For the Peace of the world,TF-IDF,5,12.57060277767054,Bible,92,1For the day before the Sabbath when the earth was settled the praise of an ode by  David The Lord reigns He clothed Himself with majesty The Lord clothed and girded Himself with power And He established the world which shall not be moved Your throne is prepared from of old You are from everlasting The rivers O Lord lift up The rivers lift up their voices Because of the voices of their many waters Marvelous are the billows of the sea Wondrous is the Lord on high Your testimonies are very much believed Holiness is proper to Your house O Lord Unto length of days,False,1
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",TF-IDF + GloVe,2,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant,False,4
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",BERT,2,88.98,Bible,103,By David Bless the Lord O my soul O Lord my God You are magnified exceedingly You clothe Yourself with thanksgiving and majesty Who cover Yourself with light as with a garment Who stretch out the heavens like a curtain You are He who covers His upper chambers with waters Who makes the clouds His means of approach Who walks on the wings of the winds Who makes His angels spirits And His ministers a flame of fire He established the earth on its stable foundation It shall not be moved unto ages of ages The deep like a garment is His covering The waters shall stand upon the mountains At Your rebuke they shall flee At the sound of Your thunder they shall be afraid The mountains rise up and the plains sink down To the place You founded for them You set a boundary they shall not pass over Neither shall they return to cover the earth You are He who sends springs into the valley The waters shall pass between the mountains They shall give drink to all the wild animals of the field The wild asses shall quench their thirst The birds of heaven shall dwell beside them They shall sing from the midst of the rocks You are He who waters the mountains from His higher places The earth shall be satisfied with the fruit of Your works You are He who causes grass to grow for the cattle And the green plant for the service of man To bring forth bread from the earth And wine gladdens the heart of man To brighten his face with oil And bread strengthens mans heart The trees of the plain shall be full of fruit The cedars of Lebanon which You planted There the sparrows shall make their nests The house of the heron takes the lead among them The high mountains are for the deer The cliff is a refuge for the rabbits He made the moon for seasons The sun knows its setting You established darkness and it was night Wherein all the wild animals of the forest will prowl about The young lions roar and snatch their prey And seek their food from God The sun arises and they are gathered together And they shall be put to bed in their dens Man shall go out to his work And to his labor until evening O Lord Your works shall be magnified greatly You made all things in wisdom The earth was filled with Your creation There is this great and spacious sea The creeping things are there without number The living things are there both small and great There the ships pass through There is this dragon You formed to play therein All things wait upon You That You may give them food in due season When You give it tothem they shall gather it When You open Your hand all things shall be filled with Your goodness But when You turn Your face away they shall be troubled When You take away their breath they shall die And return again to their dust You shall send forth Your Spirit and they shall be created And You shall renew the face of the earth Let the glory of the Lord be forever The Lord shall be glad in His works He looks upon the earth and makes it tremble He touches the mountains and they smoke I will sing to the Lord all my life I will sing to my God as long as I exist May my words be pleasing to Him And I shall be glad in the Lord May sinners cease from the earth And the lawless so as to be no more Bless the Lord O my soul,False,3
