Query,Method,Rank,Similarity Score (%),Text,Psalm Num,Verse,Scored,Letter,Score
God with with us,TF-IDF + GloVe,4,13.11,Bible,119,An ode of ascents To the Lord in my affliction I cried out and He heard me O Lord deliver my soul from unjust lips And from a deceitful tongue What should be given You and what added to You Against a deceitful tongue The arrows of the Mighty One are sharpened With hot coals from the desert Woe is me My sojourning was prolonged I dwelt with the tents of Kedar My soul sojourned a long time as a resident alien With those who hate peace I was peaceful When I spoke to them they made war against me without cause,False,A,0
God with with us,BERT,4,69.14,Bible,134,Alleluia Praise the name of the Lord O you servants praise the Lord You who stand in the house of the Lord In the courts of the house of our God Praise the Lord for the Lord is good Sing to His name for it is good For the Lord chose Jacob for Himself Israel for His special treasure For I know the Lord is great And our Lord is above all the gods All things whatsoever the Lord willed He did In heaven and on the earth In the seas and in all deep places Bringing clouds from the furthest part of the earth He made lightning for the rain Bringing winds from His storehouses He struck the firstborn of Egypt From man to cattle He sent forth signs and wonders in your midst O Egypt Among Pharaoh and all his servants He struck many nations And destroyed mighty kings Sihon king of the Amorites And Og king of Bashan And all the kingdoms of Canaan And He gave their land as an inheritance An inheritance for Israel His people O Lord Your name abides forever O Lord Your memorial unto generation and generation For the Lord will judge His people And He shall comfort His servants The idols of the nations are silver and gold The works of mens hands They have a mouth but they shall not speak They have eyes but they shall not see They have ears but they shall not hear They have noses but they shall not smell They have hands but they shall not feel They have feet but they shall not walk They have no sound in their throat For neither is there breath in their mouth May those who made them become like them And all who trust in them O house of Israel bless the Lord O house of Aaron bless the Lord O house of Levi bless the Lord You whofear the Lord bless the Lord Blessed be the Lord out of Zion He who dwells in Jerusalem,False,B,1
God with with us,SBERT,4,95.8,Psalter,149,"Sing unto the Lord a new song, His praise is in the congregation of the saints. Let Israel be glad in Him that made him, and let the sons of Zion be joyful in their king. Let them praise His name in the dance; let them sing praises unto Him with the timbrel and psaltery. For the Lord taketh pleasure in His people, and shall exalt the meek with salvation. The saints shall rejoice in glory, and shall exult upon their beds. The high praises of God shall be in their mouth, and twoedged swords in their hands; To execute vengeance among the heathen, and punishments among the peoples; To bind their kings with chains, and their nobles with fetters of iron; To execute among them the judgment written; this glory shall be for all His saints.",False,C,2
God with with us,TF-IDF,4,35.14,Bible,41,For the End for understanding for the sons of Korah As the deer longs for the springs of waters So my soul longs for You O God My soul thirsts for the living God When shall I come and appear before the face of God My tears were my bread day and night When they said to me each day Where is your God I remembered these things and poured out my soul within me For I shall enter the place of the wondrous tabernacle even the house of God To celebrate a festival with a voice of great joy and praise Why are you so sad O my soul And why do you trouble me Hope in God for I will give thanks to Him My God is the salvation of my countenance My soul within me was troubled Therefore I will remember You From the land of the Jordan and Hermon From the small mountain Deep calls to deep at the sound of Your waterfalls All Your waves and billows went over me By day the Lord shall command His mercy And by night His ode will be with me A prayer to the God of my life I will say to God You are my protector Why have You forgotten me Why do I go about with a sad face when my enemies afflict me Those who afflict me revile me when they break my bones When they speak to me each day saying Where is your God Why are you so sad O my soul And why do you trouble me Hope in God for I will give thanks to Him My God is the salvation of my countenance,False,D,3
"Blessed is God, who illuminate and sanctifieth every man that cometh into the world: now and ever, and unto ages of ages. ",TF-IDF + GloVe,1,16.0,Bible,79,1For the End concerning things that shall be changed a testimony for Asaph a psalm  concerning the Assyrian Give heed O You who shepherd Israel Reveal Yourself O You who lead Joseph like a flock Who sit upon the cherubim Raise up Your power Before Ephraim Benjamin and Manasseh And come for our salvation O God convert us And reveal Your face and we shall be saved O Lord God of hosts How long will You be angry with the prayer of Your servant Will You feed us the bread of tears And will You give us as drink tears in measure You made us an offense to our neighbors And our enemies sneered at us O Lord God convert us And reveal Your face and we shall be saved Pause You removed a vineyard from Egypt You cast out the nations and planted it You prepared the way before it And You planted its roots and the earth was filled Its shade covered the mountains And its vines the cedars of God Its branches reached to the sea And its shoots as far as the river Why did You pull down its hedge And all who pass on the road gather its grapes A wild swine from the forest laid it waste A solitary wild beast devoured it O God of hosts convert us now Look down from heaven and behold And visit this vineyard Which Your right hand planted and perfect it And visit the son of man whom You strengthened for Yourself It was set on fire and uprooted But they shall perish at the rebuke of Your face Let Your hand be upon the man of Your right hand And upon the son of man whom You strengthened for Yourself Then we will not turn away from You You will give us life and we will call upon Your name O Lord God of hosts convert us and reveal Your face and we shall be saved,False,A,0
"Blessed is God, who illuminate and sanctifieth every man that cometh into the world: now and ever, and unto ages of ages. ",BERT,1,84.78,Psalter,34,"Judge Thou, O Lord, them that do me injustice; fight against them that fight against me. Take hold of weapon and buckler, and rise up for mine help. Draw out the sword, and stop the way against them that persecute me; say unto my soul, I am Thy salvation. Let them be ashamed and confounded that seek after my soul; let them be turned back and put to shame that devise evil against me. Let them become as chaff before the face of the wind, and let the angel of the Lord afflict them. Let their way be dark and slippery, and let the angel of the Lord pursue them. For without cause have they hid for me destruction in their snare; without cause have they reproached my soul. Let a snare come upon him unawares, and let the snare that he hath hid catch himself; and into that very snare let him fall. But my soul shall exult in the Lord; it shall delight in His salvation. All my bones shall say, Lord, O Lord, who is like unto Thee, Which deliverest the poor from the hand of them that are too strong for him, yea, the poor and needy from them that spoil him? Unjust witnesses did rise up; they charged me with things that I knew not. They rewarded me evil for good, and barrenness to my soul. But as for me, when they troubled me, I put on sackcloth, and humbled my soul with fasting; and my prayer shall return into mine own bosom. I sought to please, as though it had been my neighbour or brother; I humbled myself, as one that is mourning and sad of countenance. But they rejoiced against me, and gathered themselves together; plagues were gathered together upon me, and I knew it not. They were scattered, yet they were not pricked at the heart. They tempted me, they scoffed at me with scorn, they gnashed upon me with their teeth. Lord, when wilt Thou look upon me? Rescue my soul from their mischief, mine onlybegotten one from the lions. I will give Thee thanks in the great congregation; I will praise Thee among a mighty people. Let not them that are my enemies wrongfully rejoice over me, they that hate me without a cause, and wink with the eyes. For they spake unto me peaceably indeed, but in their anger they devised deceits. Yea, they opened their mouth wide against me; they said, Aha, aha, our eyes have seen it. This Thou hast seen, O Lord, keep not silence; O Lord, be not far from me. Arise, O Lord, and attend to my judgment, even unto my cause, my God and my Lord. Judge me, O Lord, according to Thy righteousness; let them not rejoice over me, O Lord my God. Let them not say in their hearts, Aha, aha, it is well to our soul; neither let them say, We have swallowed him up. Let them be ashamed and brought to confusion together that rejoice at my woes. Let them be clothed with shame and confusion that speak great words against me. Let them exult and be glad, that favour my righteous cause; yea, let them that desire the peace of Thy servant say continually, Let the Lord be magnified. And my tongue shall speak of Thy righteousness, and of Thy praise all the day long.",False,B,1
"Blessed is God, who illuminate and sanctifieth every man that cometh into the world: now and ever, and unto ages of ages. ",SBERT,1,97.18,Psalter,146,"The Lord doth build up Jerusalem; He shall gather together the dispersed of Israel. He healeth the broken in heart, and bindeth up their wounds. He telleth the multitude of the stars, and calleth them all by their names. Great is our Lord, and great is His power; and His understanding is infinite. The Lord lifteth up the meek, but casteth the sinners down to the ground. Begin your song unto the Lord with thanksgiving; sing praise upon the harp unto our God, Who covereth the heavens with clouds, Who prepareth rain for the earth, Who maketh grass to grow upon the mountains, and green herb for the service of man, Who giveth to the beasts their food, and to the young ravens which call upon Him. He shall not delight in the strength of an horse, neither taketh He pleasure in the legs of a man. The Lord taketh pleasure in them that fear Him, and in those that hope in His mercy.",False,C,2
"Blessed is God, who illuminate and sanctifieth every man that cometh into the world: now and ever, and unto ages of ages. ",TF-IDF,1,30.17,Psalter,86,"His foundations are in the holy mountains. The Lord loveth the gates of Zion more than all the dwellings of Jacob. Glorious things are spoken of thee, O city of God. I will make mention of Rahab and Babylon to them that know me. And behold the foreigners, and those of Tyre, and the people of the Ethiopians; these were born there. A man shall say, Zion is my mother, and, That man was born in her, and, The Most High Himself hath established her. The Lord shall tell it in His writings of the people and of the princes, even of them that have been born in her. How joyful are all they that have their habitation in Thee!",False,D,3
The Lord is my shepherd,TF-IDF + GloVe,2,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant,False,A,0
The Lord is my shepherd,BERT,2,76.75,Psalter,53,"Save me, O God, by Thy name, and judge me by Thy strength. Hear my prayer, O God; give ear to the words of my mouth. For strangers are risen up against me, and the mighty have sought after my soul; and they have not set God before them. For behold, God helpeth me, and the Lord is the protector of my soul. He shall bring evils upon my enemies; cut them off in Thy truth. I will freely sacrifice unto Thee; I will praise Thy name, O Lord, for it is good. For Thou hast delivered me out of every trouble, and mine eye hath looked down upon mine enemies.",False,B,1
