Query,Method,Rank,Similarity Score (%),Text,Psalm Num,Verse,Scored,Letter,Score
How does the psalmist express trust in God while surrounded by fear and uncertainty?,TF-IDF + GloVe,2,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant,False,A,3
How does the psalmist express trust in God while surrounded by fear and uncertainty?,BERT,2,70.69,Bible,71,For Solomon OGod give Your judgments to the King And Your righteousness to the Kings Son That He may judge Your people in righteousness And Your poor with judgment Let the mountains raise up peace for Your people And the hills in righteousness He shall judge the poor of the people And shall serve the sons of the poor He shall humble the false accuser And He shall continue as long as the sun And before the moon from generation to generation And He shall come down like rain on the fleece Like raindrops falling on the earth In His days righteousness and abundance of peace shall flourish Until the moon is removed And He shall rule from sea to sea And from the river to the ends of the inhabited earth The Ethiopians shall bow down before Him And His enemies shall lick the dust The kings of Tarshish and their islands will come bearing gifts The kings of Arabia and Saba will bring presents All the kings of the earth shall worship Him All the Gentiles shall serve Him For He rescued the poor from the hand of a strong man And the needy for whom there was no helper He shall spare the poor and needy And He shall save the souls of the needy He shall redeem their souls from usury and injustice And precious shall be their name in His sight He shall live and there shall be given Him from the gold of Arabia They shall pray continually because of Him All the day long shall they bless Him He shall be a support on the earth upon the summits of the mountains His fruit shall be exalted more than Lebanon And they shall flourish from the city like the grass of the earth Let His name be blessed unto the ages His name shall remain before the sun And all the tribes of the earth shall be blessed in Him All the Gentiles shall bless Him Blessed is the Lord God The God of Israel who alone does wondrous things And blessed is the name of His glory forever and unto ages of ages And all the earth shall be filled with His glory Amen Amen The hymns of David the son of Jesse are ended,False,B,2
How does the psalmist express trust in God while surrounded by fear and uncertainty?,SBERT,2,97.16,Psalter,147,"Praise the Lord, O Jerusalem; praise thy God, O Zion. For He hath strengthened the bars of thy gates; He hath blessed thy children within thee. He maketh peace in thy borders, and filleth thee with the fat of the wheat. He sendeth forth His commandment to the earth; His word runneth very swiftly. He giveth His snow like wool; He scattereth the mist like ashes. He casteth forth His ice like morsels; who shall stand before His cold? He shall send out His word, and melt them; His wind shall blow, and the waters shall flow. He sheweth His word unto Jacob, His statutes and His judgments unto Israel. He hath not dealt so with every nation, neither hath He shewed His judgments unto them.",False,C,1
How does the psalmist express trust in God while surrounded by fear and uncertainty?,TF-IDF,2,10.53,Psalter,23,"The earth is the Lord's, and the fulness thereof; the world, and all they that dwell therein. He hath founded it upon the seas, and prepared it upon the rivers. Who shall ascend into the mountain of the Lord, or who shall stand in His holy place? He that is innocent in hands, and pure in heart, who hath not received his soul in vain, nor sworn deceitfully to his neighbour. He shall receive a blessing from the Lord, and mercy from God his Saviour. This is the generation of them that seek the Lord, that seek the face of the God of Jacob. Lift up your gates, O ye princes, and be ye lifted up, ye everlasting gates; and the King of Glory shall come in. Who is this King of Glory? the Lord strong and mighty, the Lord mighty in battle. Lift up your gates, ye princes, and be ye lifted up, ye everlasting gates; and the King of Glory shall come in. Who is this King of Glory? the Lord of hosts, He is the King of Glory.",False,D,0
For His mercy endureth forever,TF-IDF + GloVe,2,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant,False,A,3
For His mercy endureth forever,BERT,2,78.04,Psalter,49,"The God of gods, even the Lord, hath spoken, and called the earth from the rising of the sun unto the going down thereof. Out of Zion is the comeliness of His beauty. God, our God, shall come manifestly, and shall not keep silence. A fire shall burn before Him, and a mighty tempest shall be round about Him. He shall summon the heaven above, and the earth, that He may judge His people. Gather His saints together unto Him, those that have established His covenant upon sacrifices. And the heavens shall declare His righteousness; for God is judge. Hear, O My people, and I will speak to thee, O Israel; and I will testify against thee; I am God, even thy God. I will not reprove thee for sacrifices, for thy whole burntofferings are continually before Me. I will not welcome bullocks out of thy house, nor he goats out of thy flocks. For all the beasts of the field are Mine, the cattle upon the mountains, and the oxen. I know all the fowls of the air, and the beauty of the fields is Mine. If I were hungry, I would not tell thee, for the world is Mine, and the fulness thereof. Will I eat the flesh of bulls, or drink the blood of goats? Offer unto God a sacrifice of praise, and pay thy vows unto the Most High. And call upon me in the day of thy trouble, and I will deliver thee; and thou shalt glorify Me. But unto the sinner God said, Why dost thou declare My statutes, and takest My covenant in thy mouth? Thou hast hated instruction, and hast cast My words behind thee. When thou sawest a thief, then thou didst run with him, and hast been partaker with the adulterer. Thy mouth hath multiplied evil, and thy tongue hath framed deceits. Thou satest and spakest against thy brother, and laidst a scandal against thy mother's son. These things hast thou done, and I kept silence. Thou thoughtest wickedly that I should be like unto thee; but I will reprove thee, and set thy sins before thy face. Now understand this, ye that forget God, lest He snatch you away, and there be none to deliver. A sacrifice of praise shall glorify Me, and there is the way wherein I will shew him My salvation.",False,B,2
For His mercy endureth forever,SBERT,2,96.51,Psalter,148,"Praise ye the Lord from the heavens; praise Him in the highest. Praise ye Him, all His angels; praise ye him, all His hosts. Praise ye Him, sun and moon; praise Him, all ye stars and light. Praise Him, ye heaven of heavens, and thou water that art above the heavens. Let them praise the name of the Lord; for He spake, and they were made; He commanded, and they were created. He hath established them for ever and ever; He hath made a decree, and it shall not pass away. Praise the Lord from the earth, ye dragons and all deeps. Fire, and hail, snow, and ice, stormy wind, fulfilling His word; Mountains, and all hills; fruitful trees, and all cedars; Beasts, and all cattle; creeping things, and winged fowl; Kings of the earth, and all peoples; princes, and all judges of the earth; Both young men and maidens; old men, and children; Let them praise the name of the Lord, for His name alone is exalted. His praise is above the earth and heaven, and He shall exalt the horn of His people, A hymn is meet for all His saints; even for the sons of Israel, for the people that draw near unto Him.",False,C,1
For His mercy endureth forever,TF-IDF,2,24.73,Bible,135,1Alleluia Give thanks to the Lord for He is good For His mercy endures forever Give thanks to the God of gods For His mercy endures forever Give thanks to the Lord of lords For His mercy endures forever To Him who alone does great wonders For His mercy endures forever To Him who made the heavens with understanding For His mercy endures forever To Him who made firm the earth on the waters For His mercy endures forever To Him who alone made the great lights For His mercy endures forever The sun for authority over the day For His mercy endures forever The moon and stars for authority over the night For His mercy endures forever To Him who struck down Egypt with their firstborn For His mercy endures forever To Him who led Israel out of their midst For His mercy endures forever With a strong hand and an upraised arm For His mercy endures forever To Him who divided the Red Sea into parts For His mercy endures forever And led Israel through the midst of it For His mercy endures forever And whooverthrew Pharaoh and all his host in the Red Sea For His mercy endures forever To Him who led His people through the wilderness For His mercy endures forever To Him who drew water from the hard rock For His mercy endures forever To Him who struck down great kings For His mercy endures forever And killed mighty kings For His mercy endures forever Sihon king of the Amorites For His mercy endures forever And Og king of Bashan For His mercy endures forever And who gave their land as an inheritance For His mercy endures forever An inheritance for Israel His servant For His mercy endures forever For in our humiliation the Lord remembered us For His mercy endures forever And He redeemed us from our enemies For His mercy endures forever Who gave food to all flesh For His mercy endures forever Give thanks to the God of heaven For His mercy endures forever Give thanks to the Lord of lords For His mercy endures forever,False,D,0
Lord I have cried unto thee,TF-IDF + GloVe,5,12.74,Bible,11,For the End concerning the eighth a psalm by David Save me O Lord for the holy man has ceased The truthful are diminished from among the sons of men Each one speaks useless things to his neighbor Deceptive lips speak with a double heart May the Lord destroy all deceptive lips And the tongue that speaks boastful things Saying We will make our tongue powerful Our lips are our own Who is lord over us Because of the suffering of the needy And because of the groaning of the poor Now I will arise says the Lord Iwill establish them in salvation I will declare it boldly The words of the Lord are pure words Like silver fired in a furnace of earth Purified seven times You shall guard us O Lord You shall preserve us from this generation forever The ungodly walk in a circle In Your exaltation You highly exalted the sons of men,False,A,3
Lord I have cried unto thee,BERT,5,78.35,Psalter,53,"Save me, O God, by Thy name, and judge me by Thy strength. Hear my prayer, O God; give ear to the words of my mouth. For strangers are risen up against me, and the mighty have sought after my soul; and they have not set God before them. For behold, God helpeth me, and the Lord is the protector of my soul. He shall bring evils upon my enemies; cut them off in Thy truth. I will freely sacrifice unto Thee; I will praise Thy name, O Lord, for it is good. For Thou hast delivered me out of every trouble, and mine eye hath looked down upon mine enemies.",False,B,2
